name,borough,extant,cast,materials,MaintainedByParks
Spanish Memorial Plaque,Brooklyn,S,1976,Bronze; Barre granite,
Spanish War Memorial,the Bronx,Y,circa 1919,Column and pedestal--Deer Isle granite; plaque with bas-relief--bronze from USS Maine,Y         
Speeder,the Bronx,Y,ca. 1936,Stone,
Spring,Manhattan,Y,ca. 1902,Westerly granite,
Stapleton Tower Suite,Staten Island,N,ca. 1990,Steel-reinforced concrete footings; pressure-treated exterior-grade plywood; pressure-treated fir studding and structural members; pine moldings and trim; cedar shingles; heavy-grade asphalt shingles; copper flashing; clear polycarbonate windows; stucco,
Stephen Sabatini Memorial,the Bronx,Y,ca. 1994,Plaque--bronze; base--concrete; frame--wood,Y         
Study,Manhattan,Y,ca. 1903,Westerly granite,
Stuyvesant Post War Memorial,Manhattan,Y,1934,"Stele-- Indiana(""French"") limestone; cap --  black diamond granite",Y         
Stuyvesant Square War Memorial,Brooklyn,S,ca. 1925,Gun--steel (?); Plaque--bronze; Plinth--limestone,
Sugar Loaf Rock Plaque,Staten Island,Y,ca. 1920,Bronze,Y         
Sullivan Memorial Fountain,Manhattan,S,ca. 1911,Fountain--Deer Isle granite; plaque--bronze,
Summer,Manhattan,Y,ca. 1903,Westerly granite,
Sunset Park Memorial,Brooklyn,N,1927,"bronze, granite",
Superheroes Mural,the Bronx,Y,1973,Paint,
Swans,Manhattan,Y,1935,Indiana limestone,
The Army: Genius of Patriotism Urging American Soldiers On To Victory,Brooklyn,Y,ca. 1900,Bronze,Y         
"The Bear, the Panther, the Snake and the Kite Pursuing the Monkey Tribe Through the Jungle",Brooklyn,Y,1935,,
The Family,Manhattan,Y,1979,Sculpture--bronze (brown patina); Pedestal--Carnelian red granite,Y         
The Free Bridge Plaque,the Bronx,Y,ca. 1959,Bronze,
The Hiker,Staten Island,Y,1916,"Bronze, North Jay granite",Y         
The Hollow Way Plaque,Manhattan,S,ca. 1910,Bronze,
The Ides of March,Manhattan,M,circa 1972,"Three monoliths-marble grout, smallest  monolith--white.marble; pedestal--cement",
The Immigrants,Manhattan,Y,1973,"Bronze, Minnesota Rideau Red granite",Y         
The Navy: American Sailors At Sea Urged On By the Genius of Patriotism,Brooklyn,Y,1901,Bronze,Y         
The New York Times Capsule,Manhattan,Y,1999,Capsule--stainless steel; monolith--black diabase granite (polished); paving blocks--Milford pink granite,Y         
The Rowers,Manhattan,Y,1968,Group and plinth--bronze; original pedestal--concrete; replacement pedestal--black granite (polished),Y         
The Waterhole in the Jungle,Brooklyn,Y,1935,,
Theodore Roosevelt Plaque,the Bronx,Y,1931,Bronze,
Thirteenth Regiment Coast Defense Memorial,Brooklyn,Y,1921,"bronze, granite",
Thomas F. Smith,Manhattan,Y,1924,Deer Isle granite,
Thunderbird,Brooklyn,Y,ca. 1992,Belgian granite pavers,
Tigers,Manhattan,Y,1935,Indiana limestone,
Time Sculpture at Lincoln Center,Manhattan,Y,1998,Form--bronze; base--granite,Y         
Tisch Children's Zoo Gate,Manhattan,Y,1961,Pylons--Swenson green granite; Crest and plaques--bronze; inscription--gilded,Y         
Tomorrow's Wind,Manhattan,Y,ca. 1990,Plate segments--#304 stainless steel; grid--iron,Y         
Topiary: A Twenty-Year Project,Brooklyn,Y,ca. 1993,"Armatures--steel, aluminum (color-coated)",
Tradition,Manhattan,Y,ca. 1905,Westerly granite,
Triumph of the Human Spirit,Manhattan,Y,2000,Basin and superstructure--black Canadian granite; plaque--brass,Y         
Truth,Manhattan,Y,1920,Carrara marble,
Turkeys,Manhattan,Y,1935,Indiana limestone,
U.S.S. Maine National Monument,Manhattan,Y,"September 1, 1912",Pylon--Maine granite; colossal group--bronze (gilded); figures--Tennessee pink marble; plaques--bronze; gate houses--marble; gate house doors--bronze; gate house reliefs--granite,Y         
Ukrainian American Flagstaff,Manhattan,Y,1942,"Base--granite, plaque and seal---bronze",Y         
Untitled,Manhattan,Y,ca. 1993,Bronze,
Union Square National Historic Landmark Plaque,Manhattan,Y,2002,Bronze,Y         
Van Nest Memorial,the Bronx,Y,1926,Deer Isle granite,Y         
Victor Herbert,Manhattan,Y,ca. 1927,"Bronze, Stony Creek granite",Y         
Voice 1,Manhattan,Y,2008,Stainless steel,Y         
Voice 2,Manhattan,Y,2008,Stainless steel,Y         
Voice 4,Manhattan,Y,2008,Stainless steel,Y         
Von Weber Memorial,Brooklyn,Y,ca 1909,"Bronze, Barre granite",Y         
Wallach Walk Paver,Manhattan,Y,ca. 1994,granite,
Walloon Settlers Memorial,Manhattan,Y,ca. 1924,Limestone,Y         
Washington Heights-Inwood War Memorial,Manhattan,Y,1923,"Bronze, Deer Isle granite",Y         
Washington Square Memorial Drinking Fountain,Manhattan,O,ca. 1993,Plaque--brass,
Weeping Beech Tree Landmark Plaque,Queens,Y,ca. 1972,Bronze,Y         
Westchester Square Memorial,the Bronx,Y,1925,Milford pink granite,Y         
Wien Walk Plaques,Manhattan,Y,ca. 1988,Bronze,Y         
Wien Walk Plaques,Manhattan,Y,ca. 1988,Bronze,Y         
Wien Walk Plaques,Manhattan,Y,ca. 1988,Bronze,Y         
Wild Geese,the Bronx,Y,ca. 1936,Stone,
William C. Allen Plaque,Brooklyn,Y,ca. 1931,,
William Cullen Bryant,Manhattan,Y,1911,"Bronze, marble",Y         
William Jay Gaynor Memorial,Brooklyn,Y,1926,"Bust and bas-reliefs--bronze; Pedestal, stele, platform--pink Milford granite",Y         
William T. Stead Memorial,Manhattan,Y,1920,"Bronze, Indiana limestone",Y         
William Tecumseh Sherman,Manhattan,Y,1902,Group and wreaths--bronze (gilded); pedestal--Stony Creek granite (polished); plaque--bronze; pavement: bluestone,Y         
Winfield Memorial,Queens,Y,1926,"Bronze, Stony Creek granite",Y         
Wingdale,Queens,Y,1971,"Cor-ten steel, painted red",Y         
Wingdale,Queens,Y,1971,"Cor-ten steel, painted red",Y         
Winter,Manhattan,Y,ca. 1903,Westerly granite,
Wireless Operators Memorial,Manhattan,Y,1913,"Cenotaph, fountain, and benches--Quincy yellow granite; plaques--bronze",Y         
Wolf and Lynxes,Manhattan,Y,1935,Indiana limestone,
Wollman Portrait,Manhattan,Y,1952,Oil on canvas,Y         
Woodside Doughboy,Queens,Y,1923,"Bronze, granite",Y         
Zion Park War Memorial,Brooklyn,Y,ca. 1925,Bas-relief--Indiana limestone; Plaque--bronze,Y         
