PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %)
AHMEDABAD EAST,35,917,36,1788,93,6,32,28,36,74,64
GANDHINAGAR,35,917,36,1788,93,6,32,28,36,74,64
KHEDA,35,931,34,5837,92,9,37,27,39,64,58
AHMEDABAD WEST(SC),35,904,45,2596,94,9,29,27,31,76,62
RAJKOT,35,915,42,2322,92,5,30,23,31,57,52
JAMNAGAR,35,952,28,1824,95,4,27,31,29,75,63
VADODARA,35,943,31,1150,79,11,43,16,39,54,49
ANAND,35,962,30,1744,92,12,48,21,41,59,50
CHHOTA UDAIPUR(ST),35,1001,27,1182,79,11,43,29,45,52,51
BHAVNAGAR,35,944,19,1895,93,5,48,25,44,69,54
PORBANDAR,35,943,38,2015,93,7,27,26,28,68,57
BHARUCH,35,971,28,967,79,10,44,27,45,54,52
AMRELI,35,935,26,2224,87,7,43,25,38,71,55
JUNAGADH,35,974,38,2231,90,10,27,30,27,77,59
BARDOLI (ST),35,881,44,1247,92,5,29,26,36,42,39
SURAT,35,881,44,1247,92,5,29,26,36,42,39
NAVSARI,35,958,43,1455,93,6,34,26,36,47,45
VALSAD (ST),35,998,34,1828,74,8,43,33,46,58,58
AMBALA (SC),36,831,60,908,95,9,23,32,30,66,60
KURUKSHETRA,36,882,46,828,89,11,31,24,32,63,57
SIRSA (SC),36,904,40,816,89,8,29,23,29,73,62
KARNAL,36,863,50,1327,85,5,42,22,36,70,66
HISAR,36,918,45,1052,90,7,28,21,26,72,62
SONIPAT,36,861,51,1844,88,4,33,24,29,67,64
ROHTAK,36,901,47,1498,87,5,28,15,23,75,61
BHIWANI-MAHENDRAGARH,36,928,47,1094,92,8,29,17,26,74,64
GURGAON,36,853,47,2106,82,5,34,18,26,72,69
FARIDABAD,36,826,42,3856,72,8,29,19,20,75,54
MANDI,32,1058,55,3781,70,5,24,14,17,67,63
KANGRA,32,1117,57,2605,72,6,27,13,22,56,55
HAMIRPUR,32,1136,63,3838,81,7,26,12,19,42,44
SHIMLA (SC),32,981,55,3070,76,6,27,17,26,68,61
RAJMAHAL (ST),50,1011,15,880,52,4,49,28,49,75,67
GODDA,43,1002,19,955,56,5,47,30,48,73,63
KODARMA,28,1049,27,1570,72,4,45,22,43,70,63
DUMKA (ST),40,988,18,920,57,5,44,31,49,71,61
PALAMU (SC),36,1005,23,2604,56,14,45,27,47,62,56
HAZARIBAGH,29,1004,35,1430,76,5,49,24,47,64,60
CHATRA,40,1020,23,2309,53,12,46,27,46,56,54
GIRIDIH,27,1001,28,1892,63,4,41,29,44,72,68
DHANBAD,27,960,33,2085,63,5,39,32,46,71,67
RANCHI,41,953,38,1386,70,6,42,25,48,73,71
LOHARDAGA (ST),42,1021,35,1381,72,7,42,29,46,67,66
KHUNTI (ST),45,1011,30,1139,59,6,46,31,51,76,72
JAMSHEDPUR,25,1001,43,1148,81,8,39,40,49,66,66
SINGHBHUM (ST),53,997,26,993,50,4,52,30,59,82,75
BIDAR,29,1003,39,3492,94,2,47,28,48,70,43
GULBARGA (SC),29,989,33,1626,91,0,52,34,56,72,43
