PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %),Rural_MPCE_URP,Urban_MPCE_URP,Rural_MPCE_MRP,Urban_MPCE_MRP,Rural_LFPR,Urban_LFPR
JADAVPUR,28,1037,22,3742,52,5,27,20,27,65,66,0,0,0,0,0,0
DIAMOND HARBOUR,28,1037,22,3742,52,5,27,20,27,65,66,0,0,0,0,0,0
KOLKATA DAKSHIN,28,979,36,12293,73,6,25,18,23,67,56,0,0,0,0,0,0.543964526425702
KOLKATA UTTAR,28,921,49,20845,95,6,24,17,19,70,46,0,0,0,0,0,0.543964526425702
HOWRAH,28,1001,33,4738,86,4,34,14,28,56,58,0,0,0,0,0,0
ULUBERIA,28,1001,33,4738,86,4,34,14,28,56,58,0,0,0,0,0,0
SREERAMPUR,28,1028,29,3693,88,5,32,16,28,55,60,0,0,0,0,0.528086584031372,0.505470618695276
HOOGHLY,28,1055,26,2648,91,7,30,18,28,53,63,0,0,0,0,0.528086584031372,0.505470618695276
ARAMBAG (SC),28,1052,25,2686,84,6,29,23,34,53,65,0,0,0,0,0.528086584031372,0.505470618695276
TAMLUK,28,991,28,19550,74,7,29,24,32,42,59,0,0,0,0,0,0
GHATAL,28,1020,26,11137,75,6,29,26,36,47,63,0,0,0,0,0,0
KANTHI,28,991,28,19550,74,7,29,24,32,42,59,0,0,0,0,0,0
MEDINIPUR,28,1020,26,11137,75,6,29,26,36,47,63,0,0,0,0,0,0
JHARGRAM (ST),28,1016,20,2175,75,5,37,31,49,59,73,0,0,0,0,0.545313340118806,0.475942266628442
PURULIA,28,983,15,1625,72,6,45,34,58,66,80,0,0,0,0,0.545313340118806,0.475942266628442
BANKURA,28,992,19,3260,79,5,39,30,49,57,73,0,0,0,0,0.531546644433161,0.45176028507929
BISHNUPUR (SC),28,1007,24,3786,84,3,33,26,36,45,65,1164.261744,1910.166616,1216.218333,1948.00742,0.537126323547098,0.463574166737897
BARDHAMAN-DURGAPUR,28,1013,26,2677,82,2,32,25,33,44,63,1164.261744,1910.166616,1216.218333,1948.00742,0.556472698346681,0.499570029945658
BARDHAMAN PURBA(SC),28,1013,26,2677,82,2,32,25,33,44,63,1164.261744,1910.166616,1216.218333,1948.00742,0.556472698346681,0.499570029945658
BOLPUR (SC),28,990,24,2628,84,4,36,27,38,51,63,1094.341557,1644.5972715,1144.426799,1687.9472415,0.541598341185468,0.501351265089913
ASANSOL,28,1013,26,2677,82,2,32,25,33,44,63,1164.261744,1910.166616,1216.218333,1948.00742,0.556472698346681,0.499570029945658
BIRBHUM,28,968,22,2579,86,5,40,29,43,59,63,1024.42137,1379.027927,1072.635265,1427.887063,0.526723984024255,0.503132500234169
ADILABAD(ST),35,0,0,0,0,0,0,0,0,0,0,1266.643711,1690.260323,1400.177661,1945.452022,0.786179424620971,0.509222823202538
PEDDAPALLE (SC),35,1102,45,3734,97,14,24,19,25,52,52,1289.6046905,1802.367028,1419.953196,1941.4064765,0.786650636888044,0.550866441340214
SRIKAKULAM,39,1028,34,2938,91,5,28,15,28,70,71,1782.553639,1953.129887,1560.658432,2042.127838,0.631607373500495,0.475755814627481
ARAKU (ST),39,1017,35,2234,91,8,30,16,30,69,69,1438.09479075,2204.97333325,1435.09777625,2245.583979,0.640531197340314,0.517649768585796
NIZAMABAD,35,1101,40,3647,94,11,30,20,30,59,54,1195.8681875,1716.560648,1321.1363515,1793.9210875,0.792962581040338,0.604323551039992
KARIMNAGAR,35,1102,45,3734,97,14,24,19,25,52,52,1312.56567,1914.473733,1439.728731,1937.360931,0.787121849155116,0.59251005947789
ZAHIRABAD,35,1054,35,3862,91,8,35,21,36,66,56,1189.4787495,1643.827755,1271.6714255,1759.8614465,0.742550151245733,0.560593010268231
VIZIANAGARAM,39,1047,33,2476,90,6,32,17,31,74,73,1552.5955445,1992.6654985,1512.84756,1980.4243425,0.636575474120642,0.516640325838329
MAHABUBABAD(ST),35,1039,39,4980,95,9,26,15,25,67,64,1556.879463,2316.0850265,1598.2467695,2313.167737,0.698191666783302,0.498134859837719
WARANGAL(SC),35,1043,43,6754,96,13,26,16,29,63,56,1604.906268,2259.149775,1719.429131,2335.025056,0.737713937376447,0.530987428856513
MEDAK,35,1007,35,4164,91,9,33,20,37,67,57,1299.786794,1769.007947,1340.798879,1869.241649,0.686296989565906,0.505048977934367
VISAKHAPATNAM,39,1056,36,2079,88,8,33,18,33,71,70,1173.493233,2210.964924,1285.3133095,2253.376902,0.668777657621084,0.532175057562327
ANAKAPALLE,39,1047,39,2143,85,8,30,17,33,64,66,1024.349016,2389.728738,1105.589931,2588.032957,0.69601174050138,0.506825278075477
BHONGIR,35,999,44,4998,95,9,27,18,29,60,56,1679.74429633333,2092.53714033333,1779.70520233333,2228.81270166667,0.683690624468275,0.533661921536065
